Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 2940 	| explore_rate: 0.009 	| return: 18.183
episode: 2950 	| explore_rate: 0.007 	| return: 18.266
episode: 2960 	| explore_rate: 0.006 	| return: 18.266
episode: 2970 	| explore_rate: 0.004 	| return: 18.266
episode: 2980 	| explore_rate: 0.003 	| return: 18.266
episode: 2990 	| explore_rate: 0.001 	| return: 18.266
Traceback (most recent call last):
  File "/home/s4278836/polyInfect/run_experiment.py", line 139, in <module>
    test_savefig_format = args.test_savefig_format)
  File "/home/s4278836/polyInfect/run_experiment.py", line 82, in run
    train_fig = viz.visualize_train(train_perf_file = perf_filename)            
TypeError: visualize_train() missing 1 required positional argument: 'episode_time_max'
