Matplotlib is building the font cache; this may take a moment.
Parsing experiment parameters ...

Parsing successful. Running experiment ...

Training for 3000 episodes ...

episode: 2260 	| explore_rate: 0.123 	| return: 17.208
episode: 2270 	| explore_rate: 0.121 	| return: 16.444
episode: 2280 	| explore_rate: 0.119 	| return: 18.26
episode: 2290 	| explore_rate: 0.117 	| return: 18.193
episode: 2300 	| explore_rate: 0.115 	| return: 18.281
episode: 2310 	| explore_rate: 0.113 	| return: 18.177
episode: 2320 	| explore_rate: 0.111 	| return: 18.277
episode: 2330 	| explore_rate: 0.11 	| return: 18.26
episode: 2340 	| explore_rate: 0.108 	| return: 18.26
episode: 2350 	| explore_rate: 0.106 	| return: 17.942
episode: 2360 	| explore_rate: 0.104 	| return: 17.723
episode: 2370 	| explore_rate: 0.102 	| return: 17.537
episode: 2380 	| explore_rate: 0.1 	| return: 18.26
episode: 2390 	| explore_rate: 0.099 	| return: 17.235
episode: 2400 	| explore_rate: 0.097 	| return: 17.406
episode: 2410 	| explore_rate: 0.095 	| return: 17.208
episode: 2420 	| explore_rate: 0.093 	| return: 18.26
episode: 2430 	| explore_rate: 0.091 	| return: 18.26
episode: 2440 	| explore_rate: 0.09 	| return: 17.831
episode: 2450 	| explore_rate: 0.088 	| return: 17.943
episode: 2460 	| explore_rate: 0.086 	| return: 17.61
episode: 2470 	| explore_rate: 0.084 	| return: 18.398
episode: 2480 	| explore_rate: 0.082 	| return: 17.743
episode: 2490 	| explore_rate: 0.081 	| return: 17.567
episode: 2500 	| explore_rate: 0.079 	| return: 18.26
episode: 2510 	| explore_rate: 0.077 	| return: 18.26
episode: 2520 	| explore_rate: 0.076 	| return: 18.26
episode: 2530 	| explore_rate: 0.074 	| return: 17.977
episode: 2540 	| explore_rate: 0.072 	| return: 18.26
episode: 2550 	| explore_rate: 0.07 	| return: 18.093
episode: 2560 	| explore_rate: 0.069 	| return: 18.093
episode: 2570 	| explore_rate: 0.067 	| return: 18.26
episode: 2580 	| explore_rate: 0.065 	| return: 18.26
episode: 2590 	| explore_rate: 0.064 	| return: 18.177
episode: 2600 	| explore_rate: 0.062 	| return: 18.26
episode: 2610 	| explore_rate: 0.06 	| return: 18.177
episode: 2620 	| explore_rate: 0.059 	| return: 18.143
episode: 2630 	| explore_rate: 0.057 	| return: 17.478
episode: 2640 	| explore_rate: 0.055 	| return: 16.966
episode: 2650 	| explore_rate: 0.054 	| return: 16.961
episode: 2660 	| explore_rate: 0.052 	| return: 18.143
episode: 2670 	| explore_rate: 0.05 	| return: 17.831
episode: 2680 	| explore_rate: 0.049 	| return: 18.093
episode: 2690 	| explore_rate: 0.047 	| return: 18.26
episode: 2700 	| explore_rate: 0.046 	| return: 17.976
episode: 2710 	| explore_rate: 0.044 	| return: 18.26
episode: 2720 	| explore_rate: 0.042 	| return: 18.26
episode: 2730 	| explore_rate: 0.041 	| return: 18.093
episode: 2740 	| explore_rate: 0.039 	| return: 18.26
episode: 2750 	| explore_rate: 0.038 	| return: 17.86
episode: 2760 	| explore_rate: 0.036 	| return: 16.795
episode: 2770 	| explore_rate: 0.034 	| return: 17.096
episode: 2780 	| explore_rate: 0.033 	| return: 18.26
episode: 2790 	| explore_rate: 0.031 	| return: 18.26
episode: 2800 	| explore_rate: 0.03 	| return: 18.143
